epoch,train_loss,train_acc,val_loss,val_acc
1,0.6700,0.7735,0.4996,0.8261
2,0.4181,0.8582,0.3497,0.8817
3,0.3244,0.8906,0.3202,0.8909
4,0.2690,0.9084,0.3876,0.8804
5,0.2185,0.9251,0.3430,0.8903
6,0.1835,0.9374,0.3209,0.8937
7,0.1489,0.9492,0.2843,0.9102
8,0.1339,0.9545,0.2882,0.9105
9,0.1146,0.9603,0.3374,0.9027
10,0.0982,0.9652,0.3029,0.9143
11,0.0872,0.9706,0.3301,0.9080
12,0.0791,0.9732,0.3352,0.9107
13,0.0733,0.9753,0.3087,0.9171
14,0.0639,0.9783,0.3020,0.9202
15,0.0629,0.9783,0.2924,0.9245
16,0.0545,0.9816,0.3332,0.9160
17,0.0523,0.9822,0.3124,0.9183
18,0.0499,0.9828,0.3279,0.9221
19,0.0467,0.9840,0.4476,0.8957
20,0.0432,0.9859,0.3569,0.9119
